Month,PortfolioWeights,MonthlyReturn,CumulativeReturn
2016-01,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.03722206966936947,-0.03722206966936947
2016-02,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.01154748154864304,-0.04833973005530312
2016-03,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.06586467982581046,0.014341068927548717
2016-04,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.00046205890422278996,0.013872383604731864
2016-05,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.03562646630887767,-0.022248306711263655
2016-06,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.0010679629162790808,-0.023292509261025107
2016-07,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.06547867678578512,0.04066100483932744
2016-08,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.011817109892792166,0.052958610294657316
2016-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.038254570003945616,0.0932390891634316
2016-10,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.0231526098571656,0.06792775105142757
2016-11,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.03943535886089423,0.11004186515164838
2016-12,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.017338422934555682,0.12928824048471066
2017-01,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.012071039618777318,0.14291992357662098
2017-02,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.006021188350065381,0.14980165970551806
2017-03,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",-0.006494465077518713,0.1423343129804875
2017-04,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.003884002892753596,0.14677114275659542
2017-05,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.02339066297710391,0.1735948800686833
2017-06,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.0006079104679759303,0.17430832068143998
2017-07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",-0.0026333256163852906,0.17121598449905506
2017-08,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.023993944765981386,0.19931807614015984
2017-09,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010614061053052298,0.2120477114223407
2017-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.015820208216768,0.2312225585856993
2017-11,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.009047150439988378,0.220083502873067
2017-12,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0057440714819210256,0.22709174972748247
2018-01,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",-0.017228409618425526,0.20595091042378688
2018-02,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.006139550897124696,0.19854691342980613
2018-03,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.007792898581600366,0.1892067588881574
2018-04,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.00033985792890845433,0.18961092023427706
2018-05,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.02441748849748914,0.1605636092729692
2018-06,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",-0.004953219838434992,0.15481508257975252
2018-07,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.02293583194406868,0.1813017272402775
2018-08,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.026159993720071835,0.21220457300639306
2018-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",-0.003922633163211614,0.20744953914772135
2018-10,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.09415235248662013,0.09376532452807806
2018-11,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.008684654797699976,0.10326429880129862
2018-12,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.07612251433779982,0.019281046397414014
2019-01,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.06727515948689877,0.08785334135577316
2019-02,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0031971713267364647,0.08437528784509607
2019-03,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.04288115756136946,0.13087455541883708
2019-04,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.035049564313080823,0.1705112158790163
2019-05,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.06283931726188874,0.09695709022579568
2019-06,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.0701613653972668,0.17392109745825035
2019-07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",-0.01673772977863463,0.15427232334755603
